,0,1,2,3
0,0.6368(0.0087),0.6807(0.0197),0.2857(0.0109),0.4023(0.0119)
1,0.5085(0.0108),0.738(0.0207),0.2293(0.0106),0.3498(0.0133)
2,0.7556(0.0093),0.4079(0.0186),0.3471(0.0183),0.3747(0.0146)
3,0.7964(0.0883),0.0402(0.1333),0.1835(0.1602),0.0324(0.0604)
4,0.7835(0.1006),0.0624(0.1615),0.1837(0.176),0.044(0.0804)
5,0.7345(0.0086),0.2737(0.0238),0.2653(0.0194),0.2691(0.0187)
6,0.7095(0.0091),0.2321(0.0219),0.2128(0.0174),0.2217(0.0176)
7,0.71(0.0086),0.2317(0.0204),0.2153(0.0177),0.223(0.0175)
8,0.8014(0.0706),0.031(0.0995),0.1714(0.1285),0.0302(0.0509)
9,0.7897(0.1001),0.0539(0.1612),0.2226(0.1891),0.0385(0.07)
10,0.8685(0.0071),0.8589(0.0105),0.8717(0.0117),0.8652(0.0079)
11,0.752(0.0091),0.7704(0.015),0.737(0.0137),0.7532(0.0102)
12,0.6531(0.0126),0.5964(0.0189),0.6658(0.0194),0.629(0.016)
13,0.5292(0.0325),0.3142(0.3084),0.5753(0.1129),0.3145(0.2248)
14,0.5266(0.0235),0.27(0.2903),0.5764(0.1193),0.2835(0.2116)
15,0.8666(0.0077),0.8585(0.0123),0.8687(0.0107),0.8635(0.008)
16,0.7516(0.0095),0.7723(0.0144),0.736(0.0143),0.7536(0.0101)
17,0.6554(0.0135),0.5972(0.0184),0.6694(0.0189),0.631(0.0151)
18,0.5266(0.0283),0.3356(0.3309),0.588(0.1159),0.3247(0.2172)
19,0.5245(0.0261),0.2973(0.3133),0.5694(0.0992),0.2993(0.215)
20,0.9424(0.0039),0.9725(0.0053),0.9269(0.0073),0.9491(0.0035)
21,0.8248(0.0067),0.7988(0.0114),0.8738(0.0099),0.8345(0.0072)
22,0.6572(0.0076),0.5669(0.0118),0.7514(0.0118),0.6461(0.0092)
23,0.5337(0.0541),0.2985(0.1896),0.7114(0.1074),0.3845(0.1483)
24,0.5326(0.048),0.2889(0.1818),0.7218(0.1026),0.3776(0.1457)
25,0.9419(0.004),0.9728(0.0054),0.9257(0.0074),0.9486(0.0036)
26,0.8261(0.007),0.7997(0.0111),0.8748(0.0095),0.8355(0.0074)
27,0.657(0.0084),0.5678(0.0127),0.7515(0.0131),0.6468(0.0103)
28,0.5423(0.0542),0.3082(0.1928),0.7393(0.0982),0.3976(0.1469)
29,0.5383(0.0515),0.2996(0.1943),0.7243(0.1066),0.3866(0.1509)
