label,text
C04,"Cerebellopontine angle lipoma in a teenager.
 Lipomas of the cerebellopontine angle are very rare lesions.
 To date, 18 patients have been reported, 17 of whom were adults.
 A second child is described with cerebellopontine angle lipoma."
C04,"Trisomy 13: a new recurring chromosome abnormality in acute leukemia.
 A new recurring chromosome abnormality was identified in 8 of 621 consecutive successfully karyotyped adults with de novo acute leukemia.
 These eight patients had trisomy 13 as the sole cytogenetic abnormality.
 On central morphologic review, five cases were classified as subtypes of acute myeloid leukemia, one as acute mixed lymphoid and myeloid leukemia, one as acute lymphoid leukemia, and one as acute undifferentiated leukemia.
 Blasts of all eight cases expressed one or more myeloid differentiation antigens.
 Three also expressed T-lineage-associated antigens; however, none of these had rearrangement of the T-cell receptor beta, gamma, or delta genes.
 Four of six cases tested were TdT positive.
 All eight patients with trisomy 13 were treated with intensive induction chemotherapy; only three entered a short-lived complete remission.
 Survival of patients with trisomy 13 ranged from 0.5 to 14.7 months, and was significantly shorter than that of the remaining patients (median 9.5 v 16.2 months, P = .007).
 We conclude that trisomy 13 is a rare, recurring clonal chromosome abnormality in acute leukemia associated with a poor prognosis.
 Malignant transformation of an immature hematopoietic precursor cell is suggested by the expression of antigens characteristic of both the myeloid and lymphoid lineage, the high incidence of TdT positivity, and the morphologic heterogeneity in these leukemias."
C04,"Abnormalities of the long arm of chromosome 6 in childhood acute lymphoblastic leukemia.
 To determine the biologic significance of the structural rearrangements of the long arm of chromosome 6(6q) in acute lymphoblastic leukemia (ALL) at diagnosis, we studied 412 consecutive children whose leukemic cell chromosomes had been completely banded and identified 45 (11%) children with this abnormality.
 The 45 cases were divided into del(6q) only (n = 11), del(6q) and numerical abnormalities (n = 4), del(6q) and structural abnormalities (n = 23), and 6q translocations (n = 7).
 The breakpoints of del(6q) were subgrouped: del(6)(q15q21) in 11 cases, del(6) (q13q21) in six, del(6)(q21q23) in four, del(6)(q15) in four, del(6)(q15q23) in three, and other deletions in 10 cases.
 Notably, all these deletions encompassed the 6q21 band, suggesting that this might be the locus of a recessive tumor suppressor gene, the absence of which contributes to malignant transformation or proliferation.
 Among the seven children with 6q translocations, a previously unidentified nonrandom translocation, t(6;12)(q21;p13) was noted in two cases with an early pre-B immunophenotype.
 Clinical features and event-free survival were similar among children with or without 6q abnormalities.
 Overall, children with 6q abnormalities were less likely than those without the abnormality to have a pre-B immunophenotype (P = .03).
 T-cell immunophenotypes were equally represented in cases with or without 6q abnormalities.
 However, all four children with del(6q) and a 12p abnormality had early pre-B ALL and all three children with del(6q) and a 9p abnormality had a T-cell immunophenotype.
 The lack of specificity for a particular immunophenotype may imply that the gene or genes affected by 6q abnormalities are broadly active in the multistep process of lymphoid leukemogenesis.
 The relatively high frequency of microscopically visible del(6q) indicates the need for molecular studies to identify cases with submicroscopic deletions."
C04,"The role of cellular maturation in neutrophil heterogeneity.
 Previous studies have shown that many neutrophil (PMN) characteristics are heterogeneous but the origin of PMN heterogeneity is unknown.
 It is unclear if PMN functional heterogeneity is secondary to maturational differences or due to distinct subpopulations of cells that possess different functional capacities.
 The PMN 31D8 antigen is a useful probe for evaluation of PMN subpopulations.
 The majority of PMNs (approximately 85%) exhibit a high intensity fluorescence after 31D8 monoclonal antibody (MoAb) labeling (31D8 enriched or ""bright"" PMNs) as determined by flow cytometric analysis.
 These cells are more functional than cells with low intensity fluorescence (31D8 diminished or ""dull"" PMNs).
 Various immunologic, clonogenic and functional techniques were used to study the expression of the 31D8 antigen in HL-60 cells and myeloid cells in order to evaluate antigenic and functional heterogeneity during morphologic maturation.
 The results of this study indicate that the percentage of 31D8 antigen positive (31D8 antigen enriched and diminished) bone marrow cells increases from 20 +/- 11% in myeloblast cells to 68 +/- 10% in promyelocytes, 93 +/- 2% in myelocytes and 99 +/- 1% in bands and PMNs.
 31D8 antigen enriched cells first appear at the myelocyte stage (32 +/- 10%) and increase in bands (52 +/- 13%), marrow PMNs (62 +/- 13%) and peripheral blood PMNs (88 +/- 4%).
 These data indicate that the heterogeneous expression of 31D8 antigen in PMNs is due, at least in part, to maturational differences within the PMN population and raise the possibility that other heterogeneously expressed PMN characteristics are also maturationally derived.
 They also suggest that 31D8 antigenic expression may be a more precise indicator of myeloid functional maturation than maturation as identified by cellular morphology."
C04,"Early detection of gastric cancer 
 OBJECTIVE--To see whether investigation of dyspeptic patients aged over 40 after their first consultation with the general practitioner would increase the proportions with early and operable gastric cancers.
 DESIGN--Prospective study of gastric cancer in dyspeptic patients aged over 40 from a defined population.
 SETTING--10 General practices (six in central Birmingham, four in Sandwell); the Queen Elizabeth Hospital, Birmingham; and Sandwell District General Hospital.
 PATIENTS--2659 Patients aged 40 or over referred with dyspepsia.
 MAIN OUTCOME MEASURE--Increase in early and operable gastric cancers detected in middle aged patients with dyspepsia.
 RESULTS--Disease was identified in 1992 patients (75%).
 Fifty seven were found to have gastric cancer, 36 being treated by potentially curative resection, including 15 with early cancer.
 CONCLUSIONS--The investigation of dyspeptic patients over 40 at first attendance can increase the proportion of early gastric cancers detected to 26% and the proportion of operable cases to 63%.
 Such a policy has the potential to reduce mortality from gastric cancer in the population."
C04,"Renal carcinoma in a solitary kidney.
 We studied the clinical and pathological features of 26 patients with renal carcinoma of a solitary kidney, including 6 treated at this hospital.
 Four patients had a contracted kidney and 22 had previously undergone nephrectomy.
 Partial nephrectomy was performed in 16 patients, enucleation of the tumour in 5 and radical nephrectomy in 5 because of the size of the tumour.
 Ex vivo surgery was carried out in 4 patients.
 The duration of ischaemia ranged from 15 to 365 min but was longer in those who underwent ex vivo surgery (149 to 365 min).
 Of the 21 patients who underwent partial nephrectomy or enucleation, the serum creatinine level increased (greater than or equal to 2.0 mg/dl) post-operatively in 16 patients, of whom 9 required temporary haemodialysis.
 No recurrence has been noted in those who underwent partial nephrectomy, but 1 patient who underwent enucleation of the tumour developed a solitary pancreatic metastasis 2 years 6 months after surgery and was treated by a partial pancreatectomy.
 Kidney-preserving surgical procedures are considered to improve the quality of life, but careful follow-up is necessary."
C04,"Cell cycling in bladder carcinoma determined by monoclonal antibody Ki67.
 Current methods of predicting prognosis in transitional cell carcinoma of the bladder fail to provide consistently reliable information about future tumour behaviour.
 The monoclonal antibody Ki67 recognises an antigen present in actively dividing cells and Ki67 reactivity has been shown to correlate with conventional prognostic indicators in several tumours.
 In this study, Ki67 antibody was used to determine the proportions of cells undergoing active division in 26 transitional cell carcinomas of the bladder.
 The proportion of cells stained in muscle invasive tumours (12.3 +/- 5.4%) was significantly greater than in superficial tumours (4.3 +/- 1.9%) and poorly differentiated tumours showed significantly greater proportions of cells staining compared with well or moderately well differentiated tumours.
 These results show that Ki67 reactivity correlates with high tumour stage and poor differentiation.
 Ki67 staining provides an easy method of determining tumour cell turnover that might provide additional prognostic information."
C04,"Superficial bladder cancer in patients under 40 years of age. Efficacy of topical prophylaxis.
 In patients under the age of 40 years with primary superficial bladder cancer the efficacy of adjuvant topical treatment was the same as in elderly patients (recurrences 23%, progression rate 8%).
 Patients should therefore be treated on the basis of stage and grade of the tumour regardless of their age."
C04,"Pathological classification and follow-up of prostatic lesions initially diagnosed as ""suspicious of malignancy"".
 Sections from a series of prostatic specimens (n = 44) in which the initial diagnosis implied a suspicion of malignancy were reviewed and the patients followed up (group 1).
 The aim was to categorise the morphological appearances according to current criteria and to determine the natural history of any pre-malignant lesions within this group.
 A ""control"" series of patients (n = 40) in whom the primary diagnosis was benign were also reviewed and their course followed (group 2).
 The heterogeneity of the abnormalities in group 1 was striking.
 Of the 44 cases, pre-malignant lesions were seen in 8, microinvasive adenocarcinoma in 11 and lesions not now considered pre-malignant in the remaining 25.
 None of the 8 patients with pre-malignant lesions developed clinical evidence of carcinoma over a follow-up period of 8 to 12 years.
 In contrast, 3 of the 11 diagnosed on review as having microscopic invasive adenocarcinoma developed clinically evident tumour within 5 years of surgery.
 Of the 25 patients whose prostatic lesions were considered benign, 2 developed carcinoma 12 and 13 years after surgery.
 Only 1 of the 40 patients in group 2 had a pre-malignant lesion and he did not develop tumour within 10 years.
 However, adenocarcinoma was diagnosed incidentally in 1 patient 3 years after surgery.
 It was concluded that there is a need to standardise interpretation and reporting of pre-malignant lesions and microscopic foci of adenocarcinoma in the prostate.
 The limited results on the course of pre-malignant lesions diagnosed incidentally in patients over 60 years of age do not indicate that follow-up would have prompted the early diagnosis of invasive disease."
C04,"Papillary cystic neoplasm of the pancreas: radiological and pathological characteristics in 11 cases.
 Clinical charts, radiological features, macroscopic and microscopic findings, and clinical follow-up data were retrospectively reviewed in 11 patients with papillary cystic neoplasm of the pancreas (PCNP).
 The patients were nine women and two men, aged from 13 to 51 years with a mean age of 25 years.
 The greatest diameter of the PCNPs ranged from 2.5 cm to 14.0 cm with a mean size of 7.5 cm.
 Six tumours were located in the tail of the pancreas, two in the body and three in the head.
 Most patients complained of abdominal pain or a mass.
 Ultrasonographic and/or computed tomography findings showed five solid, four mixed (solid and cystic) and two cystic types of tumour.
 Angiographically, PCNP was either a hypovascular or mild hypervascular mass with a displacement of the surrounding vessels.
 No vascular encasement was seen.
 Macroscopically all 11 tumours consisted of a well defined solid mass with degenerative change of various widths, including haemorrhage, necrosis or dystrophic calcification, and were represented by three radiological types of PCNP.
 The 11 patients with PCNP survived for from 3 to 253 months after curative resection without any signs of local recurrence or remote metastasis.
 PCNP usually affects the distal portion of the pancreas of young women.
 Despite its huge size, PCNP should be explored with aggressive surgical intent because of the inherently good prognosis."
